Alte Truhe; 3; 4; Eine robuste, hölzerne Truhe, die alte Schätze birgt. Ihre verborgenen Fächer bieten Platz für wertvolle Items.
Verstaubtes Regal; 2; 5; Ein hohes, staubiges Regal, das schon viele Geschichten gesehen hat. In seinen Fächern können Geheimnisse aufbewahrt werden.
Geheimfach im Boden; 1; 2; Ein unscheinbarer Fleck im Boden, der als versteckter Safe dient. Oft genutzt, um kleine Gegenstände zu verbergen.
Kommode mit Doppelschubladen; 3; 3; Eine elegante Kommode mit zwei praktischen Schubladen. Darin können geheimnisvolle Objekte sicher versteckt werden.
Schmaler Wandschrank; 2; 4; Ein schmaler Schrank, der an der Wand hängt und selten beachtet wird. Ideal für das Verbergen von kleinen Gegenständen.
Bücherregal; 2; 3; Ein altes Bücherregal, voll mit staubigen Folianten und mysteriösen Bänden. Zwischen den Büchern können geheime Items platziert werden.
Aufklappbarer Hocker; 1; 2; Ein einfacher Hocker, der sich aufklappen lässt und Platz für ein kleines Geheimnis bietet. Perfekt für einen schnellen Verstecktrick.
Verwitterter Schreibtisch; 3; 3; Ein antiker Schreibtisch, der die Spuren vergangener Zeiten trägt. Er bietet mehrere versteckte Fächer für unerwartete Fundstücke.
Hängeschrank; 2; 3; Ein an der Wand befestigter Schrank, der oft übersehen wird. In seinen Fächern können wertvolle Geheimnisse ruhen.
Verdeckte Wandnische; 1; 2; Eine verborgene Nische in einer alten Wand, die überraschend Platz bietet. Ideal, um kleine Schätze zu verstecken.
Alte Vitrine; 2; 3; Eine elegante Vitrine, die früher wertvolle Sammlerstücke präsentierte. Ihre versteckten Fächer können auch neue Geheimnisse aufnehmen.
Runder Esstisch mit Schublade; 1; 2; Ein runder Tisch, der beim gemeinsamen Essen genutzt wird und eine geheime Schublade verbirgt. Perfekt, um kleine Gegenstände zu verstecken.
Nachttisch; 1; 5; Ein kleiner Nachttisch, der neben dem Bett steht und intime Geheimnisse birgt. Seine verborgene Schublade ist oft unbemerkt.
Verborgene Schublade; 1; 3; Ein fast unsichtbares Fach in einem Möbelstück, das nur Eingeweihte kennen. Es hält kleine, aber bedeutende Gegenstände bereit.
Kleiderschrank; 3; 4; Ein großer, hölzerner Schrank, der mehr als nur Kleidung beherbergt. In seinen tiefen Ecken können sich wertvolle Items verstecken.
Ausgehöhlter Baumstamm; 2; 2; Ein alter Baumstamm mit einem natürlichen Hohlraum. Er bietet einen rustikalen Ort, um kleine Schätze zu verbergen.
Kaminversteck; 1; 1; Ein Geheimversteck in einem alten Kamin, das meist unbeachtet bleibt. Es dient dazu, kleine, geheime Gegenstände aufzubewahren.
Sitzbank mit Stauraum; 2; 4; Eine gemütliche Bank, die nicht nur zum Sitzen einlädt, sondern auch versteckte Fächer besitzt. Hier können sich Überraschungen verbergen.
Eckregal; 1; 5; Ein Regal, das in der Ecke eines Raumes platziert ist und oft übersehen wird. Es bietet einen diskreten Platz für kleine Gegenstände.
Werkbank; 3; 3; Eine robuste Werkbank, die in vielen Abenteuern nützlich ist. Unter der Arbeitsfläche befinden sich oft versteckte Fächer.
Geheimtür im Bücherregal; 2; 2; Ein Bücherregal, das eine geheime Tür verbirgt. Dahinter finden sich oft mysteriöse Räume mit versteckten Items.
Wandspiegel mit Fach; 1; 3; Ein großer Spiegel, der mehr verbirgt als nur dein Spiegelbild. Hinter dem Glas befindet sich ein kleines Fach für Geheimnisse.
Kiste mit doppeltem Boden; 2; 2; Eine unscheinbare Kiste, die einen doppelten Boden besitzt. Diese Konstruktion ermöglicht das sichere Verbergen wertvoller Objekte.
Holzfass; 2; 5; Ein altes Fass, das häufig in Weinkellern zu finden ist. Es bietet, obwohl begrenzt, Platz für kleine Geheimverstecke.
Abgenutzte Truhe; 2; 3; Eine stark beanspruchte Truhe, die dennoch Geheimnisse birgt. Ihre Abnutzung macht sie zu einem perfekten Versteck für verborgene Schätze.
Hängeregal; 1; 4; Ein kleines Regal, das an der Wand befestigt ist und oft übersehen wird. Es kann kleine, versteckte Gegenstände beherbergen.
Ofen mit Hohlraum; 1; 2; Ein alter Ofen, der mehr als nur Wärme spendet. In einem versteckten Hohlraum werden manchmal geheime Items aufbewahrt.
Futtertrog; 1; 3; Ein einfacher Futtertrog, der in Küchen oder Ställen zu finden ist. Trotz seines schlichten Aussehens kann er als Versteck dienen.
Verkleidete Falltür; 1; 1; Eine unscheinbare Falltür, die in den Boden eingelassen ist. Nur wer genau hinsieht, entdeckt das Geheimversteck dahinter.
Kleiner Beistelltisch; 1; 5; Ein kompakter Tisch, der oft als Ablage dient. Er besitzt ein kleines, verstecktes Fach für unerwartete Funde.
Einfaches Bett; 0; 5; Ein schlichtes Bett, das primär zum Schlafen dient. Es besitzt keinerlei versteckte Fächer, sondern nur einen schlichten Rahmen.
Holzstuhl; 0; 7; Ein stabiler Holzstuhl, der im Alltag verwendet wird. Er dient rein als Sitzgelegenheit und bietet keine Versteckmöglichkeiten.
Großer Esstisch; 0; 3; Ein massiver Esstisch, der für festliche Anlässe genutzt wird. Er hat keine versteckten Fächer, sondern bietet Platz für gemeinsame Mahlzeiten.
Kanapee; 0; 2; Ein eleganter Kanapee, der in prunkvollen Räumen steht. Er dient ausschließlich als Sitzgelegenheit ohne versteckte Bereiche.
Kleines Einzelbett; 0; 4; Ein kleines Bett, ideal für einzelne Abenteurer. Es enthält keine Fächer und bietet nur eine Schlafmöglichkeit.
Schaukelstuhl; 0; 3; Ein gemütlicher Schaukelstuhl, der zum Entspannen einlädt. Er schwingt sanft, birgt aber keine Geheimfächer.
Sessel; 0; 4; Ein bequemer Sessel, der in gemütlichen Räumen zu finden ist. Er bietet lediglich Komfort und keinerlei Versteckmöglichkeiten.
Küchenbank; 0; 4; Eine robuste Küchenbank, die zum Sitzen gedacht ist. Sie enthält keine Schubladen oder Fächer zum Verstecken.
Schreibpult; 2; 2; Ein funktionales Schreibpult, das oft von Gelehrten genutzt wird. Es verfügt über verborgene Fächer für kleine Items.
Nachttisch mit Geheimfach; 2; 3; Ein Nachttisch, der mehr als nur Licht bietet. In einem versteckten Fach können kleine Geheimnisse verborgen sein.
Getarnter Wandspalt; 1; 2; Ein unscheinbarer Spalt in der Wand, der als Versteck dient. Ideal, um ein oder zwei kleine Gegenstände zu verbergen.
Große Truhe mit Schloss; 3; 2; Eine imposante Truhe, die durch ein Schloss gesichert ist. Sie ist ideal, um wichtige und wertvolle Items zu verstecken.
Altar mit Fach; 1; 1; Ein alter Altar, der in geheimen Ritualen genutzt wurde. In einem kleinen Fach finden sich oft mystische Gegenstände.
Holzbalken mit Hohlraum; 1; 2; Ein massiver Holzbalken, in den ein Hohlraum gehauen wurde. Er dient als einfacher, aber sicherer Aufbewahrungsort.
Barhocker; 0; 4; Ein hoher Barhocker, der in geselligen Runden verwendet wird. Er ist rein dekorativ und bietet keinerlei Versteckmöglichkeiten.
Küchenregal; 2; 4; Ein praktisches Küchenregal, das in den meisten Küchen zu finden ist. Es enthält kleine Fächer für unauffällige Aufbewahrung.
Zerfallenes Bett; 0; 2; Ein altes, zerfallenes Bett, das kaum noch genutzt wird. Es bietet keine Verstecke und wirkt verlassen.
Teppichversteck; 1; 2; Ein alter Teppich, unter dem sich ein kleines Geheimfach befindet. Ideal, um unerwartete Gegenstände zu verstecken.
Medizinschrank; 2; 2; Ein kleiner Schrank aus dem medizinischen Bereich. Er beherbergt verborgene Fächer für wichtige Utensilien.
Kleines Wandregal; 1; 5; Ein kompaktes Regal, das an der Wand montiert ist. Es enthält versteckte Bereiche für kleine, wertvolle Items.
Truhe mit Geheimfach; 3; 2; Eine speziell konstruierte Truhe, die extra für geheime Gegenstände entworfen wurde. Ihr Geheimfach beherbergt oft kostbare Items.
Verrosteter Metallschrank; 2; 3; Ein alter Schrank aus verrostetem Metall, der schon bessere Tage gesehen hat. Trotz seines Alters besitzt er kleine versteckte Fächer.
Ofenplatte mit Versteck; 1; 1; Eine Ofenplatte, die geschickt ein kleines Versteck integriert hat. Hier wird oft ein einzelnes, wichtiges Item aufbewahrt.
Fliesentür im Boden; 1; 1; Eine unscheinbare Tür in einer Bodenfliese, die zu einem geheimen Raum führt. Sie bietet einen diskreten Platz für ein kleines Geheimnis.
Lattenbett mit Stauraum; 2; 2; Ein einfaches Lattenbett, das zusätzlichen Stauraum unter der Matratze bietet. Es hält kleine Geheimfächer bereit.
Badewanne; 0; 2; Eine alte Badewanne, die in verlassenen Häusern zu finden ist. Sie dient ausschließlich dem Gebrauch und birgt keine Schätze.
Küchenherd; 0; 2; Ein traditioneller Küchenherd, der in einfachen Küchen steht. Er bietet keine versteckten Fächer, sondern dient nur zum Kochen.
Klappbett; 0; 2; Ein praktisches Klappbett, das bei Bedarf verstaut werden kann. Es hat keinerlei versteckte Bereiche und ist rein funktional.
Gebrochener Stuhl; 0; 3; Ein beschädigter Stuhl, der seine Stabilität verloren hat. Er ist lediglich ein Überbleibsel vergangener Zeiten ohne Geheimfächer.
Verstaubte Matratze; 0; 2; Eine alte, verstaubte Matratze, die in verlassenen Räumen liegt. Sie dient nur als Relikt und bietet keinerlei Versteckmöglichkeiten.